name,type,season_tags,vata_score,pitta_score,kapha_score,cal,prot,fat,carb,sugar,sodium_mg,satfat_g,incompatible_with
Tomato_3,beverage,"['Summer', 'Autumn']",3,1,3,152,0.6,16.8,32.3,16.2,390,6.1,"['Chana Dal_5', 'Cashews_1', 'Cashews_9']"
Cucumber_3,vegetable,"['Autumn', 'LateWinter']",0,1,0,168,13.6,17.3,66.6,2.5,232,3.4,['Papaya_7']
Bottle Gourd_3,spice,"['EarlyWinter', 'Summer']",1,1,1,106,22.6,15.7,53.2,19.9,407,7.1,"['Carrot_3', 'Peanuts_10', 'Cashews_9']"
Pumpkin_3,vegetable,"['Autumn', 'Winter', 'Summer']",2,0,2,273,13.3,14.4,63.1,9.9,451,0.1,"['Beetroot_8', 'Pumpkin_8']"
Cauliflower_3,fat,['LateWinter'],1,0,2,148,1.5,13.3,49.1,2.7,376,7.9,['Idli_4']
Broccoli_3,spice,['Autumn'],2,3,3,321,23.7,7.6,43.7,15.3,271,4.0,[]
Apple_3,legume,"['Summer', 'EarlyWinter', 'Spring']",1,1,2,345,12.6,11.9,41.5,9.8,336,5.6,['Paneer_2']
Banana_3,spice,['Spring'],3,2,1,343,21.0,15.8,42.1,8.9,462,4.5,"['Jaggery_6', 'Lemon_6', 'Apple_5']"
Mango_3,grain,['LateWinter'],3,1,3,92,22.3,5.9,7.3,13.4,198,3.1,"['Kitchari_7', 'Spinach_4', 'Chapati_10']"
Guava_3,grain,"['Autumn', 'Spring']",3,2,2,300,1.1,12.2,35.6,1.7,438,5.4,"['Cucumber_7', 'Spinach_5', 'Cashews_5']"
Papaya_3,dairy,['LateWinter'],1,2,1,379,20.6,14.7,60.3,9.8,297,4.2,"['Cucumber_5', 'Idli_2']"
Pineapple_3,dairy,"['Winter', 'EarlyWinter']",0,3,1,330,11.6,4.1,6.0,0.2,257,2.9,"['Kitchari_7', 'Cucumber_9', 'Idli_7']"
Orange_3,fat,"['EarlyWinter', 'Spring']",1,3,3,377,7.7,16.7,66.4,12.8,488,6.9,['Banana_6']
Lemon_3,spice,"['Monsoon', 'Spring']",1,0,3,273,21.6,0.1,18.3,1.8,73,1.4,"['Carrot_6', 'Sesame Seeds_10']"
Herbal Tea_3,beverage,"['Autumn', 'Winter']",2,1,3,328,21.9,4.2,33.0,13.9,403,2.0,[]
Green Tea_3,dairy,['Summer'],2,3,1,125,7.3,13.2,39.5,10.6,305,8.2,[]
Spices Mix_3,beverage,['Spring'],0,2,3,129,19.2,12.8,32.7,6.5,352,7.6,"['Spices Mix_9', 'Wheat_3', 'Butter_7']"
Honey_3,fruit,"['EarlyWinter', 'Autumn']",0,0,1,94,11.4,5.1,31.5,19.1,414,2.9,"['Lentils_2', 'Walnuts_8']"
Jaggery_3,beverage,"['Spring', 'Autumn']",0,0,1,361,15.6,17.2,52.2,9.8,82,5.0,"['Honey_10', 'Herbal Tea_9', 'Ghee_10']"
Peanuts_3,beverage,['Spring'],2,1,3,342,17.5,4.4,35.2,7.5,259,4.8,"['Almonds_10', 'Moong Dal_10', 'Apple_4']"
Almonds_3,spice,"['LateWinter', 'Spring']",1,0,0,214,4.9,5.1,39.5,13.4,309,3.1,[]
Cashews_3,grain,"['Spring', 'Winter']",0,2,0,292,5.0,12.3,39.6,13.5,34,1.2,[]
Walnuts_3,fruit,['EarlyWinter'],2,0,1,117,7.8,5.7,31.5,5.6,170,3.9,['Sesame Seeds_5']
Sesame Seeds_3,grain,"['Monsoon', 'Autumn']",3,2,0,150,21.6,11.0,24.3,10.2,277,9.9,"['Pumpkin_2', 'Milk_4']"
Chia Seeds_3,dairy,"['LateWinter', 'Autumn']",0,2,3,249,14.3,1.5,57.8,11.4,285,7.9,['Honey_5']
Rice_4,fruit,['LateWinter'],1,3,1,340,1.0,7.3,63.9,17.0,441,4.5,['Chana Dal_6']
Wheat_4,fruit,"['EarlyWinter', 'Winter']",3,3,2,393,16.7,2.7,63.6,3.5,50,7.0,[]
Roti_4,fruit,['EarlyWinter'],0,0,1,377,7.1,12.7,35.9,0.2,162,9.2,['Lentils_4']
Chapati_4,grain,"['Spring', 'Autumn']",3,0,0,222,9.9,10.5,62.3,1.7,29,3.9,"['Chana Dal_1', 'Papaya_7', 'Guava_7']"
Kitchari_4,fruit,"['Winter', 'Spring', 'LateWinter']",2,3,3,348,23.7,4.5,44.7,13.5,282,2.6,"['Ghee_5', 'Moong Dal_4']"
Moong Dal_4,fat,"['Autumn', 'LateWinter', 'Winter']",3,0,2,386,5.8,12.3,58.1,10.9,5,5.3,"['Pumpkin_9', 'Lentils_3', 'Almonds_2']"
Chana Dal_4,fruit,"['Spring', 'Summer']",0,1,2,337,14.9,13.3,11.7,8.6,209,2.2,"['Oats_2', 'Herbal Tea_2', 'Papaya_2']"
Lentils_4,fruit,"['EarlyWinter', 'Spring']",1,0,0,122,13.8,11.6,54.6,9.0,113,5.9,['Green Tea_8']
Oats_4,fruit,"['Monsoon', 'Spring', 'Autumn']",3,1,2,190,5.7,18.1,17.1,11.3,99,5.5,"['Peanuts_3', 'Sesame Seeds_5', 'Peanuts_4']"
Idli_4,spice,"['LateWinter', 'Spring', 'Autumn']",3,2,0,270,8.9,13.3,29.2,5.0,486,8.3,"['Milk_2', 'Tomato_9', 'Idli_3']"
Dosa_4,fat,"['Winter', 'Summer']",0,3,0,143,12.1,1.7,36.6,14.1,414,8.0,['Green Tea_2']
Upma_4,legume,"['Summer', 'Winter']",1,1,1,345,12.7,0.0,65.6,1.7,263,2.1,[]
Vegetable Sabzi_4,grain,['Autumn'],3,2,3,79,17.2,10.6,69.3,17.9,308,8.0,['Mango_1']
Paneer_4,fat,"['LateWinter', 'Summer']",2,0,1,205,4.8,3.5,49.9,16.9,464,0.2,[]
Milk_4,fat,['Winter'],2,2,1,138,8.1,3.3,17.7,7.2,241,5.6,[]
Curd_4,vegetable,"['Winter', 'Autumn', 'LateWinter']",3,3,1,54,6.1,9.8,33.1,0.5,372,5.7,['Walnuts_7']
Ghee_4,dairy,['Winter'],1,2,0,358,3.6,4.2,43.2,12.5,153,9.4,[]
Butter_4,beverage,"['Monsoon', 'Autumn', 'Winter']",3,0,3,286,3.6,4.5,25.2,0.9,181,3.0,"['Jaggery_6', 'Chapati_2']"
Coconut_4,fruit,"['EarlyWinter', 'Monsoon']",0,1,2,373,22.1,11.9,37.2,8.7,117,2.3,['Guava_9']
Spinach_4,legume,['Monsoon'],2,1,3,92,20.7,9.6,10.7,1.0,48,3.5,"['Ghee_5', 'Chapati_9', 'Spices Mix_4']"
Carrot_4,dairy,"['Spring', 'Autumn']",1,2,0,177,8.1,2.6,27.5,14.2,159,2.7,[]
Beetroot_4,dairy,"['Winter', 'LateWinter', 'Monsoon']",2,1,2,306,4.0,19.3,63.2,19.6,249,0.2,"['Milk_4', 'Ghee_5', 'Spinach_2']"
Tomato_4,vegetable,"['Autumn', 'Monsoon']",2,1,2,298,14.4,3.5,6.7,16.9,405,9.1,['Lemon_10']
Cucumber_4,dairy,"['EarlyWinter', 'Summer', 'Monsoon']",2,0,1,194,8.4,4.0,45.2,19.3,496,2.3,[]
Bottle Gourd_4,spice,"['Monsoon', 'EarlyWinter', 'Autumn']",2,3,3,213,0.6,17.5,30.4,16.2,497,6.6,"['Pineapple_8', 'Cauliflower_8', 'Almonds_9']"
Pumpkin_4,beverage,['EarlyWinter'],0,1,2,86,13.1,8.4,12.8,7.6,447,9.1,[]
Cauliflower_4,legume,"['Summer', 'Autumn']",3,0,3,58,12.9,18.8,6.6,5.1,413,7.7,"['Broccoli_10', 'Moong Dal_2', 'Butter_6']"
Broccoli_4,legume,"['Autumn', 'LateWinter', 'Monsoon']",0,0,0,168,18.7,7.7,45.2,12.6,33,1.2,[]
Apple_4,vegetable,"['LateWinter', 'Monsoon']",0,1,0,144,3.4,7.1,38.1,4.3,486,4.3,[]
Banana_4,dairy,['EarlyWinter'],0,1,2,335,14.5,1.2,34.5,17.6,368,4.3,[]
Mango_4,spice,"['Spring', 'Autumn', 'Monsoon']",1,2,1,302,13.0,11.6,30.2,3.4,150,9.7,"['Lentils_5', 'Papaya_3', 'Honey_10']"
Guava_4,fruit,"['LateWinter', 'Spring', 'Autumn']",1,2,0,229,24.6,4.9,5.1,6.6,8,3.6,"['Oats_7', 'Wheat_6']"
Papaya_4,spice,"['LateWinter', 'Summer']",1,1,2,90,12.0,5.1,21.2,0.0,312,5.2,"['Cucumber_5', 'Roti_4']"
Pineapple_4,fruit,"['Autumn', 'Winter']",0,1,3,58,1.8,5.5,8.8,3.2,372,0.7,"['Roti_10', 'Guava_9', 'Curd_3']"
Orange_4,fruit,['Winter'],2,2,0,158,14.6,13.6,69.7,11.5,238,4.7,['Lentils_7']
Lemon_4,beverage,"['LateWinter', 'Summer', 'EarlyWinter']",0,2,2,393,20.2,12.1,12.2,19.7,14,5.8,"['Cauliflower_10', 'Vegetable Sabzi_4']"
Herbal Tea_4,grain,"['Autumn', 'EarlyWinter']",2,1,0,296,23.7,10.6,47.1,0.9,329,0.4,"['Lentils_2', 'Banana_6', 'Almonds_6']"
Green Tea_4,dairy,['Winter'],0,3,1,133,12.3,3.8,26.6,14.7,358,7.9,"['Cauliflower_2', 'Honey_3']"
Spices Mix_4,grain,['Summer'],3,2,2,218,13.3,14.6,46.7,14.9,339,1.6,"['Chapati_6', 'Pumpkin_4', 'Dosa_1']"
Honey_4,dairy,"['Winter', 'Spring', 'Summer']",2,2,2,170,2.7,11.2,39.6,5.5,371,6.7,[]
Jaggery_4,vegetable,['EarlyWinter'],0,3,1,103,12.8,0.0,64.7,14.6,188,3.1,"['Tomato_2', 'Pineapple_6']"
Peanuts_4,grain,"['Summer', 'Autumn', 'Winter']",1,2,3,362,18.3,8.8,52.1,12.8,318,8.0,"['Oats_7', 'Spinach_2']"
Almonds_4,beverage,"['Winter', 'Spring', 'Monsoon']",1,3,3,344,18.3,18.5,47.2,6.7,331,3.0,['Guava_8']
Cashews_4,beverage,['EarlyWinter'],1,2,1,301,2.7,18.4,17.7,3.6,448,8.2,"['Apple_2', 'Paneer_2', 'Broccoli_5']"
Walnuts_4,fat,['Winter'],0,3,2,164,9.0,8.7,41.8,18.3,375,8.0,"['Roti_5', 'Spinach_1', 'Chapati_9']"
Sesame Seeds_4,fat,"['Summer', 'Winter']",0,3,1,219,12.5,19.5,13.9,5.7,379,1.7,[]
Chia Seeds_4,spice,"['Winter', 'Monsoon']",3,0,0,106,2.0,1.8,22.0,17.9,355,4.1,[]
Rice_5,legume,"['Winter', 'EarlyWinter']",3,1,3,277,3.8,18.5,50.7,3.2,58,7.9,['Pineapple_10']
Wheat_5,spice,"['Summer', 'Autumn']",3,0,2,260,5.3,12.1,40.4,2.6,394,4.3,[]
Roti_5,legume,"['EarlyWinter', 'Winter']",2,1,1,104,7.3,7.8,58.7,7.1,351,8.3,['Rice_7']
Chapati_5,vegetable,"['Spring', 'Autumn']",2,1,1,271,8.4,14.9,34.1,17.9,214,6.6,['Milk_2']
Kitchari_5,spice,"['Summer', 'Autumn']",0,0,3,366,23.0,12.9,25.1,5.5,285,9.8,['Wheat_3']
Moong Dal_5,vegetable,"['Monsoon', 'Winter', 'EarlyWinter']",1,3,3,313,21.4,11.6,35.2,14.5,75,1.8,[]
Chana Dal_5,grain,"['Autumn', 'Summer', 'EarlyWinter']",1,1,3,373,0.9,18.9,30.5,16.9,445,3.7,"['Pineapple_4', 'Green Tea_9', 'Almonds_6']"
